"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"2007/03/01","00:00","0.54","0.103","0.056","-0.094","-0.094","-0.244","-0.284","-0.68","0"
"2007/04/01","00:00","0.662","0.219","0.171","0.032","0.034","-0.102","-0.152","-0.424","0"
"2007/05/01","00:00","0.415","0.178","0.125","-0.016","-0.015","-0.156","-0.2","-0.415","0"
"2007/06/01","00:00","0.565","0.284","0.228","0.096","0.098","-0.032","-0.068","-0.316","0"
"2007/07/01","00:00","0.417","0.229","0.18","0.041","0.046","-0.088","-0.125","-0.307","0"
"2007/08/01","00:00","0.373","0.247","0.217","0.074","0.078","-0.061","-0.092","-0.215","0"
"2007/09/01","00:00","0.815","0.255","0.21","0.059","0.058","-0.094","-0.124","-0.344","0"
"2007/10/01","00:00","0.516","0.283","0.25","0.112","0.116","-0.019","-0.044","-0.268","0"
"2007/11/01","00:00","0.587","0.221","0.172","0.03","0.026","-0.12","-0.163","-0.416","0"
"2007/12/01","00:00","0.542","0.152","0.104","-0.041","-0.041","-0.186","-0.236","-0.429","0"
"2008/01/01","00:00","0.324","0.119","0.069","-0.07","-0.072","-0.214","-0.25","-0.448","0"
"2008/02/01","00:00","0.3","0.139","0.094","-0.051","-0.05","-0.195","-0.236","-0.527","0"
"2008/03/01","00:00","0.881","0.164","0.103","-0.046","-0.041","-0.186","-0.244","-0.399","0"
"2008/04/01","00:00","0.351","0.228","0.186","0.05","0.051","-0.083","-0.133","-0.6","0"
"2008/05/01","00:00","0.698","0.354","0.285","0.158","0.163","0.041","-0.013","-0.305","0"
"2008/06/01","00:00","0.402","0.221","0.176","0.042","0.045","-0.085","-0.121","-0.367","0"
"2008/07/01","00:00","0.39","0.216","0.169","0.035","0.045","-0.08","-0.121","-0.239","0"
"2008/08/01","00:00","0.394","0.25","0.218","0.074","0.082","-0.055","-0.078","-0.217","0"
"2008/09/01","00:00","0.869","0.313","0.272","0.136","0.137","0.001","-0.028","-0.25","0"
"2008/10/01","00:00","0.588","0.294","0.265","0.13","0.13","-0.004","-0.039","-0.271","0"
"2008/11/01","00:00","0.527","0.269","0.219","0.087","0.093","-0.034","-0.073","-0.193","0"
"2008/12/01","00:00","0.404","0.13","0.076","-0.077","-0.071","-0.217","-0.261","-0.504","0"
"2009/01/01","00:00","0.341","0.116","0.067","-0.099","-0.095","-0.257","-0.298","-0.528","0"
"2009/02/01","00:00","0.278","0.113","0.066","-0.099","-0.098","-0.261","-0.293","-0.49","0"
"2009/03/01","00:00","0.537","0.169","0.124","-0.028","-0.027","-0.179","-0.229","-0.572","0"
"2009/04/01","00:00","0.528","0.274","0.218","0.078","0.083","-0.052","-0.082","-0.368","0"
"2009/05/01","00:00","0.465","0.23","0.176","0.022","0.029","-0.118","-0.168","-0.456","0"
"2009/06/01","00:00","0.651","0.382","0.336","0.197","0.201","0.066","0.029","-0.258","0"
"2009/07/01","00:00","0.519","0.35","0.299","0.157","0.164","0.028","-0.005","-0.156","0"
"2009/08/01","00:00","0.386","0.261","0.221","0.08","0.086","-0.049","-0.074","-0.217","0"
"2009/09/01","00:00","0.56","0.376","0.344","0.211","0.211","0.079","0.058","-0.148","0"
"2009/10/01","00:00","0.644","0.372","0.337","0.188","0.193","0.048","0.014","-0.208","0"
"2009/11/01","00:00","0.827","0.479","0.437","0.302","0.304","0.171","0.136","-0.129","0"
"2009/12/01","00:00","0.696","0.374","0.32","0.175","0.176","0.032","-0.011","-0.26","0"
"2010/01/01","00:00","0.571","0.29","0.243","0.088","0.089","-0.065","-0.101","-0.47","0"
"2010/02/01","00:00","0.724","0.347","0.287","0.145","0.139","-0.009","-0.061","-0.273","0"
"2010/03/01","00:00","0.556","0.355","0.317","0.17","0.172","0.028","-0.02","-0.339","0"
"2010/04/01","00:00","0.648","0.304","0.251","0.107","0.105","-0.042","-0.086","-0.451","0"
"2010/05/01","00:00","0.444","0.263","0.203","0.052","0.054","-0.094","-0.132","-0.39","0"
"2010/06/01","00:00","0.423","0.297","0.242","0.096","0.101","-0.04","-0.087","-0.239","0"
"2010/07/01","00:00","0.561","0.254","0.211","0.064","0.069","-0.074","-0.107","-0.296","0"
"2010/08/01","00:00","0.404","0.285","0.254","0.117","0.121","-0.012","-0.045","-0.205","0"
"2010/09/01","00:00","0.73","0.348","0.304","0.167","0.168","0.032","0.001","-0.187","0"
"2010/10/01","00:00","0.713","0.39","0.352","0.225","0.232","0.112","0.081","-0.243","0"
"2010/11/01","00:00","0.519","0.299","0.265","0.115","0.118","-0.029","-0.067","-0.366","0"
"2010/12/01","00:00","0.57","0.28","0.226","0.078","0.081","-0.064","-0.093","-0.253","0"
"2011/01/01","00:00","0.434","0.195","0.138","-0.012","-0.009","-0.156","-0.197","-0.438","0"
"2011/02/01","00:00","0.368","0.164","0.111","-0.036","-0.034","-0.179","-0.228","-0.408","0"
"2011/03/01","00:00","0.483","0.178","0.133","-0.009","-0.011","-0.155","-0.218","-0.543","0"
"2011/04/01","00:00","0.544","0.242","0.198","0.064","0.066","-0.066","-0.128","-0.415","0"
"2011/05/01","00:00","0.532","0.313","0.268","0.136","0.141","0.013","-0.021","-0.235","0"
"2011/06/01","00:00","0.48","0.318","0.273","0.136","0.14","0.006","-0.032","-0.237","0"
"2011/07/01","00:00","0.467","0.303","0.268","0.135","0.142","0.015","-0.023","-0.222","0"
"2011/08/01","00:00","2.108","0.358","0.303","0.174","0.162","0.02","-0.012","-0.305","0"
"2011/09/01","00:00","0.466","0.372","0.348","0.226","0.231","0.114","0.089","-0.057","0"
"2011/10/01","00:00","0.664","0.343","0.312","0.173","0.169","0.026","-0.019","-0.243","0"
"2011/11/01","00:00","0.512","0.271","0.223","0.074","0.078","-0.066","-0.094","-0.289","0"
"2011/12/01","00:00","0.438","0.214","0.171","0.021","0.026","-0.118","-0.153","-0.343","0"
"2012/01/01","00:00","0.541","0.168","0.117","-0.037","-0.032","-0.182","-0.226","-0.516","0"
"2012/03/01","00:00","0.384","0.203","0.169","0.01","0.017","-0.135","-0.179","-0.487","0"
"2012/04/01","00:00","0.534","0.332","0.277","0.125","0.128","-0.02","-0.072","-0.336","0"
"2012/05/01","00:00","0.518","0.314","0.268","0.111","0.119","-0.03","-0.061","-0.316","0"
"2012/06/01","00:00","0.546","0.403","0.364","0.223","0.229","0.094","0.049","-0.093","0"
"2012/07/01","00:00","0.602","0.395","0.344","0.205","0.212","0.08","0.04","-0.085","0"
"2012/08/01","00:00","0.592","0.363","0.331","0.199","0.207","0.082","0.054","-0.057","0"
"2012/09/01","00:00","0.462","0.301","0.277","0.145","0.15","0.022","-0.006","-0.244","0"
"2012/10/01","00:00","1.112","0.34","0.29","0.166","0.155","0.021","-0.019","-0.25","0"
"2012/11/01","00:00","0.61","0.362","0.327","0.176","0.177","0.027","-0.005","-0.225","0"
"2012/12/01","00:00","0.659","0.307","0.263","0.115","0.12","-0.023","-0.058","-0.367","0"
"2013/01/01","00:00","0.418","0.188","0.15","0.002","0.007","-0.137","-0.169","-0.374","0"
"2013/02/01","00:00","0.535","0.241","0.194","0.047","0.051","-0.093","-0.133","-0.38","0"
"2013/03/01","00:00","0.865","0.341","0.293","0.149","0.15","0.008","-0.044","-0.331","0"
"2013/04/01","00:00","0.43","0.218","0.165","0.008","0.013","-0.138","-0.195","-0.444","0"
"2013/05/01","00:00","0.484","0.253","0.203","0.056","0.062","-0.079","-0.114","-0.308","0"
"2013/06/01","00:00","0.855","0.335","0.277","0.134","0.138","-0.002","-0.055","-0.329","0"
"2013/07/01","00:00","0.553","0.322","0.271","0.14","0.146","0.02","-0.006","-0.131","0"
"2013/08/01","00:00","0.451","0.298","0.268","0.136","0.139","0.009","-0.021","-0.21","0"
"2013/09/01","00:00","0.369","0.274","0.252","0.114","0.118","-0.016","-0.046","-0.279","0"
"2013/10/01","00:00","0.73","0.369","0.342","0.218","0.22","0.097","0.073","-0.167","0"
"2013/11/01","00:00","0.427","0.221","0.171","0.019","0.02","-0.131","-0.162","-0.403","0"
"2013/12/01","00:00","0.392","0.212","0.168","0.01","0.017","-0.133","-0.169","-0.292","0"
"2014/01/01","00:00","0.467","0.245","0.193","0.028","0.034","-0.125","-0.159","-0.516","0"
"2014/02/01","00:00","0.617","0.189","0.144","-0.01","-0.01","-0.164","-0.213","-0.576","0"
"2014/03/01","00:00","0.426","0.234","0.197","0.044","0.045","-0.106","-0.15","-0.402","0"
"2014/04/01","00:00","0.49","0.261","0.216","0.072","0.075","-0.066","-0.129","-0.435","0"
"2014/05/01","00:00","0.539","0.35","0.3","0.169","0.173","0.046","0.004","-0.189","0"
"2014/06/01","00:00","0.56","0.317","0.274","0.141","0.145","0.016","-0.023","-0.229","0"
"2014/07/01","00:00","1.225","0.333","0.281","0.137","0.142","0.004","-0.033","-0.21","0"
"2014/08/01","00:00","0.48","0.327","0.303","0.165","0.171","0.04","0.012","-0.12","0"
"2014/09/01","00:00","0.571","0.388","0.363","0.232","0.233","0.103","0.058","-0.171","0"
"2014/10/01","00:00","0.614","0.368","0.34","0.209","0.211","0.083","0.049","-0.127","0"
"2014/11/01","00:00","0.556","0.28","0.237","0.095","0.098","-0.042","-0.071","-0.299","0"
"2014/12/01","00:00","0.537","0.268","0.233","0.099","0.098","-0.036","-0.064","-0.286","0"
"2015/01/01","00:00","0.49","0.214","0.168","0.032","0.035","-0.099","-0.14","-0.411","0"
"2015/02/01","00:00","0.367","0.189","0.151","0.007","0.009","-0.134","-0.195","-0.496","0"
"2015/03/01","00:00","0.344","0.133","0.09","-0.052","-0.05","-0.19","-0.248","-0.493","0"
"2015/04/01","00:00","0.531","0.179","0.135","0.004","0.004","-0.127","-0.175","-0.439","0"
"2015/05/01","00:00","0.476","0.198","0.158","0.031","0.035","-0.088","-0.124","-0.313","0"
"2015/06/01","00:00","0.519","0.294","0.234","0.105","0.106","-0.023","-0.062","-0.227","0"
"2015/07/01","00:00","0.619","0.354","0.306","0.173","0.181","0.056","0.01","-0.153","0"
"2015/08/01","00:00","0.497","0.284","0.264","0.137","0.141","0.017","-0.014","-0.196","0"
"2015/09/01","00:00","0.586","0.319","0.292","0.166","0.166","0.04","0.011","-0.171","0"
"2015/10/01","00:00","0.705","0.413","0.376","0.258","0.256","0.136","0.1","-0.242","0"
"2015/11/01","00:00","0.528","0.296","0.265","0.152","0.152","0.04","0.001","-0.167","0"
"2015/12/01","00:00","0.445","0.259","0.225","0.121","0.122","0.019","-0.014","-0.217","0"
"2016/01/01","00:00","0.609","0.318","0.268","0.151","0.15","0.033","-0.014","-0.342","0"
"2016/02/01","00:00","0.687","0.288","0.249","0.13","0.13","0.011","-0.038","-0.324","0"
"2016/03/01","00:00","0.4","0.232","0.183","0.065","0.065","-0.053","-0.106","-0.344","0"
"2016/04/01","00:00","0.47","0.251","0.208","0.079","0.082","-0.045","-0.099","-0.444","0"
"2016/05/01","00:00","0.55","0.328","0.286","0.166","0.166","0.046","0.004","-0.307","0"
"2016/06/01","00:00","0.702","0.373","0.333","0.215","0.217","0.101","0.049","-0.137","0"
"2016/07/01","00:00","0.552","0.366","0.316","0.176","0.186","0.056","0.018","-0.127","0"
"2016/08/01","00:00","0.471","0.27","0.247","0.115","0.12","-0.008","-0.046","-0.169","0"
"2016/09/01","00:00","0.87","0.403","0.369","0.258","0.254","0.138","0.102","-0.284","0"
