"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1993/07/01","00:00","0.805","0.607","0.507","0.025","0.016","-0.475","-0.524","-0.795","0"
"1993/08/01","00:00","1.043","0.619","0.54","0.049","0.043","-0.453","-0.49","-0.691","0"
"1993/09/01","00:00","0.985","0.598","0.531","0.04","0.037","-0.453","-0.493","-0.908","0"
"1993/10/01","00:00","1.171","0.632","0.546","0.049","0.046","-0.453","-0.499","-0.731","0"
"1993/11/01","00:00","0.839","0.595","0.488","-0.008","-0.012","-0.508","-0.56","-0.999","0"
"1993/12/01","00:00","1.345","0.668","0.562","0.074","0.068","-0.429","-0.481","-0.962","0"
"1994/01/01","00:00","0.897","0.458","0.348","-0.16","-0.165","-0.678","-0.74","-1.112","0"
"1994/02/01","00:00","0.946","0.513","0.42","-0.071","-0.076","-0.571","-0.609","-0.941","0"
"1994/03/01","00:00","0.903","0.551","0.474","-0.044","-0.047","-0.568","-0.607","-0.947","0"
"1994/04/01","00:00","0.906","0.436","0.347","-0.158","-0.163","-0.673","-0.707","-0.972","0"
"1994/05/01","00:00","0.994","0.642","0.537","0.044","0.038","-0.461","-0.51","-0.713","0"
"1994/06/01","00:00","0.821","0.499","0.394","-0.094","-0.103","-0.599","-0.645","-0.892","0"
"1994/07/01","00:00","0.638","0.449","0.359","-0.118","-0.129","-0.616","-0.653","-0.962","0"
"1994/08/01","00:00","0.793","0.509","0.422","-0.054","-0.062","-0.545","-0.583","-0.844","0"
"1994/09/01","00:00","1.025","0.63","0.548","0.063","0.057","-0.433","-0.468","-0.725","0"
"1994/10/01","00:00","0.9","0.663","0.592","0.104","0.099","-0.393","-0.427","-0.697","0"
"1994/11/01","00:00","1.058","0.583","0.47","-0.043","-0.043","-0.555","-0.612","-1.081","0"
"1994/12/01","00:00","0.863","0.654","0.54","0.03","0.025","-0.489","-0.527","-1.03","0"
"1995/01/01","00:00","0.909","0.517","0.414","-0.102","-0.102","-0.618","-0.666","-0.947","0"
"1995/02/01","00:00","0.708","0.392","0.319","-0.178","-0.182","-0.683","-0.739","-0.999","0"
"1995/03/01","00:00","0.83","0.549","0.483","-0.024","-0.028","-0.539","-0.572","-0.761","0"
"1995/04/01","00:00","0.86","0.504","0.412","-0.093","-0.097","-0.606","-0.634","-0.825","0"
"1995/05/01","00:00","0.979","0.595","0.503","0.007","0.003","-0.496","-0.539","-0.798","0"
"1995/06/01","00:00","1.11","0.592","0.496","0.004","0.001","-0.494","-0.534","-0.786","0"
"1995/07/01","00:00","0.814","0.537","0.452","-0.046","-0.053","-0.557","-0.593","-0.862","0"
"1995/08/01","00:00","1.153","0.703","0.627","0.13","0.122","-0.382","-0.427","-0.703","0"
"1995/09/01","00:00","0.973","0.714","0.634","0.141","0.136","-0.362","-0.393","-0.609","0"
"1995/10/01","00:00","0.952","0.626","0.546","0.039","0.032","-0.481","-0.511","-0.774","0"
"1995/11/01","00:00","1.003","0.628","0.52","0.004","0.001","-0.518","-0.571","-0.923","0"
"1995/12/01","00:00","1.168","0.573","0.468","-0.029","-0.032","-0.532","-0.587","-0.908","0"
"1996/01/01","00:00","0.901","0.6","0.505","0.01","0.007","-0.49","-0.55","-0.883","0"
"1996/02/01","00:00","1.024","0.517","0.433","-0.066","-0.071","-0.574","-0.622","-1.001","0"
"1996/03/01","00:00","0.772","0.477","0.405","-0.086","-0.088","-0.581","-0.63","-1.149","0"
"1996/04/01","00:00","0.931","0.516","0.439","-0.064","-0.064","-0.566","-0.601","-0.898","0"
"1996/05/01","00:00","0.939","0.567","0.476","-0.03","-0.034","-0.543","-0.581","-0.818","0"
"1996/06/01","00:00","0.98","0.592","0.494","-0.015","-0.019","-0.531","-0.573","-0.782","0"
"1996/07/01","00:00","0.945","0.589","0.484","-0.034","-0.041","-0.566","-0.606","-0.816","0"
"1996/08/01","00:00","0.918","0.649","0.583","0.066","0.062","-0.459","-0.499","-0.776","0"
"1996/09/01","00:00","0.984","0.764","0.696","0.191","0.19","-0.315","-0.358","-0.655","0"
"1996/10/01","00:00","1.104","0.739","0.663","0.164","0.161","-0.34","-0.382","-0.634","0"
"1996/11/01","00:00","1.155","0.673","0.586","0.092","0.087","-0.411","-0.453","-0.702","0"
"1996/12/01","00:00","1.193","0.67","0.584","0.088","0.086","-0.411","-0.453","-0.822","0"
"1997/01/01","00:00","0.852","0.57","0.477","-0.025","-0.032","-0.54","-0.593","-0.977","0"
"1997/02/01","00:00","1.15","0.537","0.474","-0.034","-0.044","-0.562","-0.608","-0.87","0"
"1997/03/01","00:00","0.883","0.557","0.491","-0.009","-0.014","-0.519","-0.566","-1.119","0"
"1997/04/01","00:00","1.221","0.717","0.638","0.125","0.119","-0.399","-0.435","-0.787","0"
"1997/05/01","00:00","0.879","0.545","0.464","-0.052","-0.058","-0.579","-0.622","-0.908","0"
"1997/06/01","00:00","1.181","0.701","0.611","0.114","0.107","-0.396","-0.436","-0.739","0"
"1997/07/01","00:00","0.912","0.6","0.506","0.008","-0.001","-0.508","-0.551","-0.847","0"
"1997/08/01","00:00","0.899","0.634","0.559","0.061","0.055","-0.448","-0.484","-0.803","0"
"1997/09/01","00:00","0.969","0.661","0.598","0.106","0.099","-0.4","-0.435","-0.729","0"
"1997/10/01","00:00","1.391","0.703","0.635","0.138","0.135","-0.365","-0.395","-0.68","0"
"1997/11/01","00:00","1.158","0.688","0.591","0.092","0.089","-0.413","-0.461","-0.844","0"
"1997/12/01","00:00","1.006","0.638","0.542","0.029","0.025","-0.491","-0.547","-1.029","0"
"1998/01/01","00:00","1.268","0.651","0.561","0.053","0.046","-0.469","-0.509","-1.261","0"
"1998/02/01","00:00","1.223","0.793","0.717","0.21","0.206","-0.305","-0.347","-0.597","0"
"1998/03/01","00:00","0.942","0.574","0.502","-0.024","-0.029","-0.56","-0.593","-1.134","0"
"1998/04/01","00:00","0.993","0.649","0.556","0.042","0.04","-0.476","-0.52","-0.868","0"
"1998/05/01","00:00","1.264","0.736","0.65","0.153","0.148","-0.354","-0.396","-0.641","0"
"1998/06/01","00:00","0.865","0.649","0.558","0.07","0.063","-0.431","-0.466","-0.646","0"
"1998/07/01","00:00","0.816","0.634","0.543","0.058","0.048","-0.446","-0.485","-0.705","0"
"1998/08/01","00:00","0.906","0.688","0.613","0.134","0.128","-0.357","-0.393","-0.658","0"
"1998/09/01","00:00","1.009","0.694","0.616","0.127","0.121","-0.374","-0.418","-0.8","0"
"1998/10/01","00:00","0.938","0.668","0.59","0.089","0.085","-0.42","-0.451","-0.744","0"
"1998/11/01","00:00","1.058","0.604","0.521","0.021","0.018","-0.485","-0.515","-0.75","0"
