"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1996/03/01","00:00","0.758","0.424","0.365","-0.119","-0.117","-0.599","-0.63","-0.842","0"
"1996/04/01","00:00","0.742","0.463","0.394","-0.092","-0.095","-0.583","-0.608","-0.807","0"
"1996/05/01","00:00","0.819","0.528","0.433","-0.06","-0.061","-0.556","-0.599","-0.785","0"
"1996/06/01","00:00","0.833","0.536","0.445","-0.04","-0.044","-0.533","-0.58","-0.73","0"
"1996/07/01","00:00","1.229","0.557","0.46","-0.037","-0.044","-0.549","-0.602","-0.819","0"
"1996/08/01","00:00","0.78","0.581","0.524","0.026","0.024","-0.476","-0.52","-0.714","0"
"1996/09/01","00:00","1.342","0.72","0.649","0.17","0.162","-0.325","-0.36","-0.586","0"
"1996/10/01","00:00","0.91","0.697","0.631","0.155","0.153","-0.324","-0.369","-0.583","0"
"1996/11/01","00:00","0.822","0.642","0.571","0.093","0.093","-0.385","-0.425","-0.714","0"
"1996/12/01","00:00","0.892","0.576","0.505","0.035","0.026","-0.454","-0.493","-0.754","0"
"1997/01/01","00:00","0.937","0.505","0.428","-0.053","-0.055","-0.538","-0.596","-0.878","0"
"1997/02/01","00:00","0.785","0.528","0.468","-0.022","-0.03","-0.529","-0.565","-0.811","0"
"1997/03/01","00:00","0.76","0.52","0.46","-0.021","-0.025","-0.511","-0.547","-0.963","0"
"1997/04/01","00:00","0.832","0.635","0.568","0.086","0.084","-0.401","-0.432","-0.725","0"
"1997/05/01","00:00","0.731","0.521","0.442","-0.041","-0.046","-0.535","-0.571","-0.756","0"
"1997/06/01","00:00","0.915","0.662","0.574","0.086","0.085","-0.405","-0.445","-0.683","0"
"1997/07/01","00:00","0.838","0.602","0.519","0.036","0.031","-0.457","-0.496","-0.661","0"
"1997/08/01","00:00","0.918","0.615","0.55","0.073","0.068","-0.414","-0.455","-0.664","0"
"1997/09/01","00:00","0.832","0.66","0.601","0.129","0.124","-0.354","-0.391","-0.606","0"
"1997/10/01","00:00","1.055","0.649","0.592","0.113","0.112","-0.369","-0.399","-0.585","0"
"1997/11/01","00:00","0.885","0.605","0.518","0.035","0.032","-0.455","-0.496","-0.72","0"
"1997/12/01","00:00","0.859","0.557","0.469","-0.02","-0.032","-0.533","-0.574","-0.849","0"
"1998/01/01","00:00","1.025","0.567","0.484","-0.014","-0.017","-0.518","-0.567","-1.034","0"
"1998/02/01","00:00","1.09","0.741","0.673","0.186","0.185","-0.303","-0.346","-0.612","0"
"1998/03/01","00:00","0.816","0.569","0.509","-0.003","-0.005","-0.52","-0.552","-0.954","0"
"1998/04/01","00:00","0.76","0.581","0.495","-0.004","-0.008","-0.511","-0.541","-0.853","0"
"1998/05/01","00:00","0.966","0.669","0.578","0.094","0.09","-0.399","-0.433","-0.805","0"
"1998/06/01","00:00","0.737","0.567","0.483","0.008","-0.005","-0.493","-0.533","-0.773","0"
"1998/07/01","00:00","0.727","0.544","0.46","-0.012","-0.021","-0.502","-0.545","-0.82","0"
"1998/08/01","00:00","1.117","0.619","0.537","0.058","0.054","-0.43","-0.491","-0.711","0"
"1998/09/01","00:00","0.767","0.644","0.579","0.098","0.095","-0.388","-0.437","-0.667","0"
"1998/10/01","00:00","0.772","0.584","0.517","0.029","0.027","-0.463","-0.501","-0.691","0"
"1998/11/01","00:00","0.944","0.547","0.474","-0.023","-0.023","-0.52","-0.547","-0.768","0"
"1998/12/01","00:00","0.825","0.59","0.486","-0.023","-0.024","-0.534","-0.581","-0.926","0"
"1999/01/01","00:00","1.042","0.517","0.425","-0.074","-0.08","-0.585","-0.635","-0.787","0"
"1999/02/01","00:00","0.908","0.621","0.557","0.07","0.067","-0.423","-0.472","-0.709","0"
"1999/03/01","00:00","0.72","0.532","0.468","-0.031","-0.035","-0.538","-0.575","-0.811","0"
"1999/04/01","00:00","0.944","0.558","0.495","0.009","0.002","-0.491","-0.522","-0.878","0"
"1999/05/01","00:00","1.008","0.658","0.565","0.076","0.076","-0.413","-0.446","-0.61","0"
"1999/06/01","00:00","0.903","0.615","0.511","0.027","0.023","-0.465","-0.509","-0.704","0"
"1999/07/01","00:00","0.946","0.601","0.512","0.018","0.016","-0.48","-0.527","-0.72","0"
"1999/08/01","00:00","1.019","0.673","0.595","0.107","0.102","-0.391","-0.441","-0.6","0"
"1999/09/01","00:00","1.394","0.812","0.731","0.244","0.239","-0.253","-0.299","-0.554","0"
"1999/10/01","00:00","0.903","0.711","0.636","0.148","0.147","-0.343","-0.375","-0.689","0"
"1999/11/01","00:00","0.846","0.582","0.499","0.01","0.002","-0.495","-0.536","-0.747","0"
"1999/12/01","00:00","0.806","0.573","0.47","-0.015","-0.023","-0.516","-0.555","-0.837","0"
"2000/01/01","00:00","1.025","0.494","0.393","-0.104","-0.109","-0.61","-0.663","-0.843","0"
"2000/02/01","00:00","0.7","0.409","0.336","-0.16","-0.17","-0.677","-0.724","-1.047","0"
"2000/03/01","00:00","0.877","0.523","0.453","-0.031","-0.036","-0.525","-0.557","-0.822","0"
"2000/04/01","00:00","0.853","0.564","0.498","-0.001","-0.004","-0.507","-0.542","-0.876","0"
"2000/05/01","00:00","0.954","0.626","0.53","0.03","0.027","-0.476","-0.514","-0.823","0"
"2000/06/01","00:00","0.956","0.602","0.495","-0.001","-0.008","-0.511","-0.564","-0.729","0"
"2000/07/01","00:00","0.969","0.668","0.566","0.063","0.06","-0.445","-0.504","-0.813","0"
"2000/08/01","00:00","0.958","0.678","0.597","0.099","0.092","-0.414","-0.465","-0.766","0"
"2000/09/01","00:00","0.887","0.733","0.662","0.171","0.172","-0.319","-0.356","-0.587","0"
"2000/10/01","00:00","0.875","0.698","0.623","0.142","0.142","-0.339","-0.367","-0.544","0"
"2000/11/01","00:00","1.004","0.68","0.594","0.115","0.112","-0.37","-0.407","-0.762","0"
"2000/12/01","00:00","0.851","0.505","0.401","-0.089","-0.09","-0.581","-0.634","-0.942","0"
"2001/01/01","00:00","0.713","0.452","0.366","-0.12","-0.126","-0.619","-0.668","-0.968","0"
"2001/02/01","00:00","0.629","0.422","0.338","-0.164","-0.172","-0.682","-0.737","-1.099","0"
"2001/03/01","00:00","0.895","0.547","0.478","-0.015","-0.016","-0.511","-0.557","-0.716","0"
"2001/04/01","00:00","0.71","0.51","0.423","-0.082","-0.083","-0.59","-0.627","-0.893","0"
"2001/05/01","00:00","0.83","0.605","0.51","0.021","0.015","-0.48","-0.509","-0.791","0"
"2001/06/01","00:00","0.783","0.581","0.475","-0.019","-0.022","-0.52","-0.56","-0.731","0"
"2001/07/01","00:00","1.019","0.612","0.508","0.02","0.018","-0.472","-0.517","-0.746","0"
"2001/08/01","00:00","0.78","0.563","0.481","-0.005","-0.005","-0.491","-0.542","-0.783","0"
"2001/09/01","00:00","1.087","0.674","0.609","0.128","0.131","-0.346","-0.381","-0.56","0"
"2001/10/01","00:00","0.885","0.634","0.563","0.091","0.086","-0.391","-0.421","-0.767","0"
"2001/11/01","00:00","0.762","0.574","0.48","0","-0.002","-0.485","-0.513","-0.786","0"
"2001/12/01","00:00","0.891","0.602","0.498","0.009","0.008","-0.482","-0.523","-0.831","0"
"2002/01/01","00:00","0.744","0.429","0.322","-0.187","-0.198","-0.719","-0.779","-0.965","0"
"2002/02/01","00:00","0.741","0.506","0.42","-0.071","-0.078","-0.576","-0.621","-0.853","0"
